beta_3y_mthly,change,market_cap,name,one_yr_target_est,pe_ratio,perc_change,price,symbol,volume,volume_3_mth_avg
0.73,-1.87,5.835B,Grubhub Inc.,101.24,75.38,-2.84%,64.07,GRUB,2.311M,2.791M
1.69,-0.15,5.954B,Cypress Semiconductor Corporation,16.92,17.19,-0.91%,16.33,CY,3.112M,3.909M
0.39,-0.06,5.954B,Ciena Corporation,44.00,37.73,-0.16%,38.18,CIEN,1.691M,2.587M
0.89,-0.07,6.042B,Sabre Corporation,26.57,18.03,-0.32%,21.93,SABR,1.444M,1.978M
N/A,-0.36,6.048B,Elastic N.V.,98.55,,-0.43%,82.52,ESTC,"422,073","676,708"
1.01,+0.24,6.121B,Wix.com Ltd.,120.17,,+0.20%,122.75,WIX,"338,699","757,050"
0.77,+0.39,6.238B,National Instruments Corporation,46.67,40.47,+0.84%,46.94,NATI,"236,003","638,275"
1.15,-0.81,6.305B,"First Solar, Inc.",65.41,44.01,-1.34%,59.85,FSLR,"987,863",1.516M
-0.13,+0.06,6.532B,"Mellanox Technologies, Ltd.",122.86,45.64,+0.05%,119.81,MLNX,"455,234",1.672M
1.73,-2.73,6.589B,"HubSpot, Inc.",179.11,,-1.68%,160.03,HUBS,"433,749","595,688"
1.19,-1.18,6.605B,"Monolithic Power Systems, Inc.",148.50,65.22,-0.76%,153.91,MPWR,"204,813","299,048"
1.60,+0.46,6.778B,"FLIR Systems, Inc.",58.00,24.87,+0.93%,49.98,FLIR,"537,096","921,487"
1.04,+0.03,6.82B,"LG Display Co., Ltd.",7.60,,+0.31%,9.64,LPL,"216,909","369,030"
1.06,-0.03,6.871B,"Cree, Inc.",61.88,,-0.04%,67.17,CREE,"810,498",1.34M
1.65,+1.01,6.877B,Hubbell Incorporated,132.50,19.29,+0.81%,126.17,HUBB,"346,748","344,633"
1.71,-0.05,6.97B,Logitech International S.A.,46.80,28.09,-0.12%,41.58,LOGI,"106,143","233,472"
N/A,-0.20,7.012B,Ceridian HCM Holding Inc.,48.00,,-0.40%,49.90,CDAY,"429,488","700,358"
1.80,-0.24,7.12B,YY Inc.,92.83,21.73,-0.27%,87.79,YY,"668,415",1.222M
1.12,+0.82,7.237B,"Arrow Electronics, Inc.",88.22,10.49,+0.97%,84.96,ARW,"349,804","556,419"
N/A,-8.23,7.354B,StoneCo Ltd.,33.31,141.01,-23.69%,26.51,STNE,32.482M,2.961M
2.08,-0.37,7.381B,Momo Inc.,41.92,17.49,-1.03%,35.67,MOMO,1.934M,3.986M
1.04,-0.04,7.448B,"Zayo Group Holdings, Inc.",34.60,67.32,-0.13%,31.71,ZAYO,5.807M,5.433M
0.46,-0.22,7.515B,Amdocs Limited,70.57,22.67,-0.41%,54.06,DOX,"462,660",1.27M
1.61,+0.13,7.551B,"Aspen Technology, Inc.",109.14,105.78,+0.12%,108.42,AZPN,"294,380","441,179"
0.86,+0.12,7.576B,"CDK Global, Inc.",67.00,21.36,+0.20%,60.75,CDK,"616,481",1.102M
1.38,-0.04,7.76B,"Teradyne, Inc.",40.19,19.07,-0.09%,44.81,TER,1.266M,2.29M
N/A,+0.30,7.788B,"Zscaler, Inc.",59.07,,+0.48%,62.73,ZS,2.056M,2.148M
0.96,+0.74,7.801B,"Nutanix, Inc.",47.32,,+1.76%,42.84,NTNX,4.063M,4.23M
2.20,-0.11,7.897B,Xerox Corporation,37.67,25.04,-0.32%,34.56,XRX,2.566M,3.224M
1.77,-1.26,7.961B,Universal Display Corporation,161.27,136.27,-0.74%,168.98,OLED,"510,845","769,651"
1.62,-0.18,7.979B,ANGI Homeservices Inc.,20.86,105.53,-1.12%,15.83,ANGI,"990,577","835,119"
1.61,+0.02,8.008B,Fair Isaac Corporation,270.00,56.81,+0.01%,275.46,FICO,"273,565","208,253"
0.67,+0.22,8.117B,"Black Knight, Inc.",58.88,48.13,+0.40%,54.87,BKI,"257,982","742,627"
0.64,+2.87,8.124B,NICE Ltd.,123.20,53.06,+2.19%,133.70,NICE,"319,244","163,006"
N/A,-2.73,8.28B,PagSeguro Digital Ltd.,31.31,36.35,-9.74%,25.30,PAGS,13.048M,2.291M
1.39,-0.22,8.314B,LINE Corporation,35.68,,-0.63%,34.58,LN,"46,158","96,708"
0.70,-0.49,8.379B,"Tyler Technologies, Inc.",231.50,59.37,-0.22%,218.48,TYL,"195,098","286,970"
0.98,+0.75,8.413B,Sensata Technologies Holding plc,54.40,14.52,+1.49%,51.25,ST,"809,798","981,454"
1.30,+1.29,8.635B,"RingCentral, Inc.",115.47,,+1.24%,105.50,RNG,"785,068","842,254"
1.49,+0.20,8.839B,"Zendesk, Inc.",86.90,,+0.25%,80.90,ZEN,1.309M,1.893M
N/A,-0.39,8.969B,"DocuSign, Inc.",66.10,,-0.73%,52.79,DOCU,1.903M,2.233M
